id,diseasename,energy_kcal_min,energy_kcal_max,protein_g_min,protein_g_max,fat_g_min,fat_g_max,carb_g_min,carb_g_max,fiber_g_min,fiber_g_max,purine_mg_max,purine_mg_min,sodium_mg_min,sodium_mg_max,potassium_mg_min,potassium_mg_max,cholesterol_mg_min,phosphorus_mg_max
DD01-X,Đái tháo đường đơn thuần,1500,1700,56,82,25,55,210,270,20,25,0,0,0,0,0,0,0,0
DD02-X,"Đái tháo đường BMI > 25, rối loạn chuyển hóa lipid máu",1300,1400,50,70,20,40,180,230,20,25,0,0,0,0,0,0,200,0
DD03-X,"Đái tháo đường kết hợp viêm cầu thận, thể urê máu cao",1500,1700,0,33,45,65,225,276,0,0,0,0,0,2000,0,1000,0,0
DD04-X,"Đái tháo đường kết hợp viêm cầu thận, thể cao huyết áp",1500,1700,40,44,40,55,225,276,0,0,0,0,0,2000,2000,3000,0,0
DD05-X,"Đái tháo đường kết hợp viêm cầu thận, giai đoạn phục hồi",1800,1900,50,55,45,60,270,310,20,25,0,0,0,2400,0,0,0,0
DD06-X,Đái tháo đường kết hợp suy thận mạn độ 1- 2,1500,1700,40,44,41,56,225,276,20,25,0,0,0,2000,2000,3000,0,1200
DD07-X,Đái tháo đường kết hợp suy thận mạn độ 3- 4,1500,1700,30,33,45,60,225,276,20,25,0,0,0,2000,2000,3000,0,1200
DD08-X,Đái tháo đường kết hợp với suy tim 3-4,1400,1500,40,50,32,42,200,243,0,0,0,0,0,2000,0,0,0,0
DD09-X,Đái tháo đường kết hợp với gút,1500,1700,40,50,225,276,225,276,20,25,0,0,0,0,0,0,0,0
GU01-X,Bệnh gút đơn thuần,1600,1800,40,55,260,300,260,300,0,0,400,0,0,0,0,0,0,0
GU02-X,"Bệnh gút có kết hợp với suy thận mạn độ 1, 2",1600,1800,40,44,40,50,280,320,0,0,400,0,0,2000,2000,3000,0,0
GU03-X,"Bệnh gút có kết hợp với suy thận mạn độ 3, 4",1500,1700,0,33,35,45,250,300,0,0,400,0,0,2000,0,0,0,0
TM01-X,Tăng huyết áp,1500,1700,45,60,25,37,255,300,20,25,0,0,0,2000,4000,5000,0,0
TM02-X,Rối loạn lipid máu,1500,1700,45,60,25,37,255,300,20,25,0,0,0,0,0,0,200,0
TM04-X,"Suy tim giai đoạn 1- 2, nhồi máu cơ tim ổn định",1800,1900,50,60,30,40,310,340,0,0,0,0,0,2000,4000,5000,0,0
TM05-X,"Suy tim giai đoạn 3, nhồi máu cơ tim sau 7 ngày",1500,1700,50,55,25,35,250,300,0,0,0,0,0,2000,4000,5000,0,0
TM06-X,Suy tim giai đoạn 4 (suy tim mất bù),1300,1400,40,55,20,30,215,240,0,0,0,0,0,2000,4000,5000,0,0
TM07-X,"Nhồi máu cơ tim, giai đoạn cấp 1- 3 ngày đầu",1300,1400,20,30,20,30,240,260,0,0,0,0,0,2000,0,0,0,0
TM08-X,"Nhồi máu cơ tim, giai đoạn tiếp theo",1500,1700,40,55,21,31,215,240,0,0,0,0,0,2000,0,0,0,0
NK01-X,"Nhiễm khuẩn cấp, giai đoạn toàn phát",1500,1700,50,70,25,35,250,300,0,0,0,0,0,0,0,0,0,0
NK02-X,"Nhiễm khuẩn cấp, giai đoạn hồi phục ",2000,2200,70,110,50,70,275,330,0,0,0,0,0,0,0,0,0,0
NK03-X,Nhiễm khuẩn mạn,2000,2200,80,110,45,60,300,330,0,0,0,0,0,0,0,0,0,0
